Jour_name;Jour_Temp;Jour_precipitation
01/08/2023;17°C/22°C;3.4mm
02/08/2023;18°C/23°C;10.5mm
03/08/2023;17°C/19°C;1.9mm
04/08/2023;13°C/23°C;0.2mm
05/08/2023;14°C/18°C;0.6mm
06/08/2023;14°C/19°C;0.3mm
07/08/2023;12°C/21°C;0mm
08/08/2023;13°C/22°C;0.3mm
09/08/2023;15°C/23°C;0.2mm
10/08/2023;16°C/27°C;0.1mm
11/08/2023;18°C/28°C;2.9mm
12/08/2023;20°C/26°C;2.6mm
13/08/2023;17°C/23°C;0mm
14/08/2023;17°C/28°C;0mm
15/08/2023;18°C/25°C;0.5mm
16/08/2023;16°C/27°C;0.1mm
17/08/2023;17°C/28°C;0mm
18/08/2023;19°C/31°C;0.4mm
19/08/2023;23°C/28°C;0.3mm
20/08/2023;19°C/30°C;0mm
21/08/2023;18°C/28°C;0mm
22/08/2023;19°C/30°C;0mm
23/08/2023;18°C/31°C;0mm
24/08/2023;21°C/29°C;6.9mm
25/08/2023;19°C/23°C;0.2mm
26/08/2023;15°C/23°C;0mm
27/08/2023;13°C/20°C;0.1mm
28/08/2023;14°C/23°C;0.1mm
29/08/2023;12°C/21°C;0mm
30/08/2023;13°C/22°C;0.1mm
31/08/2023;12°C/18°C;0.1mm
