Jour_name;temp_min;temp_max;Jour_precipitation
01/01/2023;12;14;0mm
02/01/2023;8;11;6.1mm
03/01/2023;6;10;0mm
04/01/2023;9;12;0mm
05/01/2023;12;13;0.1mm
06/01/2023;11;12;0.2mm
07/01/2023;7;11;0.2mm
08/01/2023;9;10;1.5mm
09/01/2023;6;9;1.2mm
10/01/2023;6;12;1.8mm
11/01/2023;10;12;0.5mm
12/01/2023;9;12;0.7mm
13/01/2023;9;11;1.8mm
14/01/2023;8;13;0.9mm
15/01/2023;7;9;2.2mm
16/01/2023;4;8;4.9mm
17/01/2023;2;5;0.3mm
18/01/2023;1;6;0mm
19/01/2023;1;6;0mm
20/01/2023;0;6;0mm
21/01/2023;1;5;0mm
22/01/2023;-1;5;0mm
23/01/2023;2;4;0mm
24/01/2023;-1;5;0mm
25/01/2023;0;8;0mm
26/01/2023;2;4;1.5mm
27/01/2023;2;4;0mm
28/01/2023;0;5;0mm
29/01/2023;0;6;0mm
30/01/2023;5;9;0.2mm
31/01/2023;2;8;0mm
